Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,ARUNAYA.NS,CCL.NS,DHARIWAL.NS,GANGAFORGE.NS,GATDVR-RE.NS,GODHA.NS,INDSWFTLAB.NS,KALANA.NS,KAMDHENU.NS,KAMOPAINTS.NS,NETWEB.NS,OLIL.NS,SONATSOFTW.NS,SYMPHONY.NS,TECHERA.NS,TRANSTEEL.NS,VAISHALI.NS,WELSPUNLIV.NS,WOMANCART.NS,ARUNAYA.NS,CCL.NS,DHARIWAL.NS,GANGAFORGE.NS,GATDVR-RE.NS,GODHA.NS,INDSWFTLAB.NS,KALANA.NS,KAMDHENU.NS,KAMOPAINTS.NS,NETWEB.NS,OLIL.NS,SONATSOFTW.NS,SYMPHONY.NS,TECHERA.NS,TRANSTEEL.NS,VAISHALI.NS,WELSPUNLIV.NS,WOMANCART.NS,ARUNAYA.NS,CCL.NS,DHARIWAL.NS,GANGAFORGE.NS,GATDVR-RE.NS,GODHA.NS,INDSWFTLAB.NS,KALANA.NS,KAMDHENU.NS,KAMOPAINTS.NS,NETWEB.NS,OLIL.NS,SONATSOFTW.NS,SYMPHONY.NS,TECHERA.NS,TRANSTEEL.NS,VAISHALI.NS,WELSPUNLIV.NS,WOMANCART.NS,ARUNAYA.NS,CCL.NS,DHARIWAL.NS,GANGAFORGE.NS,GATDVR-RE.NS,GODHA.NS,INDSWFTLAB.NS,KALANA.NS,KAMDHENU.NS,KAMOPAINTS.NS,NETWEB.NS,OLIL.NS,SONATSOFTW.NS,SYMPHONY.NS,TECHERA.NS,TRANSTEEL.NS,VAISHALI.NS,WELSPUNLIV.NS,WOMANCART.NS,ARUNAYA.NS,CCL.NS,DHARIWAL.NS,GANGAFORGE.NS,GATDVR-RE.NS,GODHA.NS,INDSWFTLAB.NS,KALANA.NS,KAMDHENU.NS,KAMOPAINTS.NS,NETWEB.NS,OLIL.NS,SONATSOFTW.NS,SYMPHONY.NS,TECHERA.NS,TRANSTEEL.NS,VAISHALI.NS,WELSPUNLIV.NS,WOMANCART.NS,ARUNAYA.NS,CCL.NS,DHARIWAL.NS,GANGAFORGE.NS,GATDVR-RE.NS,GODHA.NS,INDSWFTLAB.NS,KALANA.NS,KAMDHENU.NS,KAMOPAINTS.NS,NETWEB.NS,OLIL.NS,SONATSOFTW.NS,SYMPHONY.NS,TECHERA.NS,TRANSTEEL.NS,VAISHALI.NS,WELSPUNLIV.NS,WOMANCART.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
